name	count
JOEL ALEXI	1
ELIS. CHRISTINA	6
UNGA GABRIEL	1
SEGRID CAJISA	1
ADA EUGENIA	1
UNNI ASTRID KAROLINA	1
ALFRIDA EUGENIA	1
EDIT OLIFVIA	1
GUNNAR LEANDER	1
JONAS NICANOR	10
ET. CH.	1
CHATRINA	8
NILS TYCKO	2
TEKLA ADELINA	2
ANTON EHARD	7
WILHELMINA CAROL.	1
KLAS VALFRID	1
JENNY TERESIA ELEONORA	1
BOTILDA	7
NILS ARVID (JOHAN GEORG)	1
MARIA CATARINA HELENA	1
KARL FEDRIK	1
ALTEA LINNEA GUSTAVA	1
ELIN LINEA RAGNHILD	1
SVEN ASAF	1
PEHR WIHLEM	1
SIMON LEONARD	1
JOSEF ENGELBERT	1
ERNST ARVID	7
CARL GEHR.	1
MAGDALENA LEVIDA	1
FRITIOF LEANDER	1
PEHR DANIEL	73
KARL TYCKO NAPOLEON	1
AGNE EDVIN VITALIS	1
ERIK HJALMAR VILLEHAD	2
JOSEF MAURITZ	2
KATARINA WENDLA	1
NANNY LOVISA OTTILIA	1
NIKOLINA AMALIA	1
ERIC MATTIAS	2
KARL HERLOG	1
MARGARE¤	1
ELVIRA LOVISA	2
EMMA VICTORIA	17
GUSTAF EVERT	6
KRISTINA PETR.	2
MÄRTA GUHLID.	1
KLARA HELEN.	1
JOHAN VALERIAN	1
ALBERT TEOFRON AMANDUS KURT	1
LOVISA DOROTEA	5
LOVISA CHARLOTTA ELISABET	2
ESTER KAROLINA EUPHROSYNE	1
C. AB.	2
ASTRID WIBORG KRISTINA	1
EBBA CRISPINA SAFIRA	1
KLARA HELENA	41
SELMA TERESIA	18
ANNA KRISTINA AUGUSTA	1
BEATA ELISA	1
JOHAN MICHAIL	1
LOV. EUGENIA	2
ALEXANDRA ANNA MAJA	1
MARTIN MATHIAS	4
MATIAS ROBERT	4
NILS HEMING VICTOR	1
HENDRIK	31
ESTER KAROLINA ELISABET	2
CLAS PETTER	1
ANNY TERESIA	5
KLAS MANFRED	1
AXEL SILVIAN	1
KATRINA FREDR.	7
TORFRID	1
JOHANNA KONKORDIA	6
JONAS ALFRED AMUNDUS	1
EMIL RUDOLF	4
AMRITZ	2
GULIK NIKLAS	3
KRISTINA OTTILIA	9
JOHAN VIKANOR	1
ER. CHRIST.	2
HENDRIC	39
NELLY ELINDA EBBA NATALIA	1
MAGNUS GUST.	3
EDLA KATARINA FREDRIKA	2
NINNY ELENTERIA KAROLINA MARIA	1
JOHAN AXEL ISIDOR	2
ANNA ERIKA LAURENTIA	3
UNGE PER	1
JOHAN PAULUS SEVERIN	2
SARA MAGDALENA AUGUSTA	2
¤UKA MAGDALENA	1
CHR. ERICA	4
LILLA AND.	5
BROR AXEL JAKOB BENJAMIN	1
GERDA KARINA	1
JOH. RICHARD	1
LISA ALBERTIN	1
EBBA ERIKA	1
AUG. L. KAT.	1
JOHAN HILDING	20
INGR. MAGD.	2
KNUT FRITHIOF	2
AXEL GEON	1
DESIDERIA EUFROSYNA	2
JONAS ROBERT ALEXIUS	1
PETRUS ODLER	1
JOHANNA DOR.	6
KARL MANFRID	28
OSKAR NIKOLAUS	8
BARBARA MAGDAL.	1
KATARINA JOSEFINA ELISABET AMANDA	2
MÄRTA JOSEF.	1
KRISTINA EFROSYNA	1
ANNA ULRIKA BERTA	1
SIGNE MARIA SVANHILDA	1
CARL AUGUST WILHELM	3
LARS WILLIAM	5
CLARA MAGDAL. DOROTHEA	1
MAGDLENA MARGRETA	54
INGRID AMANDA	1
SIGRID ELIS.	2
HILDA LINNÉA	3
GUSTAVA REINHOLDINA	1
KARL HJALMAR ANDREAS	1
ASTRID ALBERTINA	1
FRITZ WILLEHAD	1
OLAV JOHANNES	1
ULLA MATHILDA	1
SIGRID KONSTANTIA JOSEFI	1
MATTIAS AXEL	1
PETER CHRISTIAN	5
PAUL HEINRICH GEORG	1
HULDA SOFIA KAROLINA	1
